NO,作答ID,用户ID,开始时间,结束时间,作答总时长(秒),作答渠道,发布ID,问卷发布名称,IP,经度,纬度,省份,城市,设备类型,操作系统类型,浏览器类型,屏幕分辨率,随机元素,请阅读上述知情同意书,您目前是否在职（包括全职、兼职、灵活、自雇等）？,过去一个月，您平均每周锻炼几次？,您每次锻炼平均多长时间（分钟）,[image],[image],[image],[image],Source,Frame,您觉得刚刚给出的健身计划是,您觉得刚刚给出的健身计划是,您觉得刚刚给出的健身计划是,Attitude,根据刚刚阅读的运动健康计划，请根据您的真实想法，评价以下每句话与您情况的符合程度-我预计会按照健身计划的建议去做,根据刚刚阅读的运动健康计划，请根据您的真实想法，评价以下每句话与您情况的符合程度-我想要按照给的健身计划的建议去做,根据刚刚阅读的运动健康计划，请根据您的真实想法，评价以下每句话与您情况的符合程度-我打算按照健身计划的建议去做,Intention,如果你真的很有动力，对你来说，接下来一个月里坚持规律运动的难易程度是？「规律运动」是指：在空闲时间里，每周至少3次，每次持续20到30分钟以上的高强度体育活动，其强度足以感到呼吸急促、心跳加快并大量出汗。,如果你真的很有动力，你有多大信心能在接下来一个月里坚持规律运动？,如果你真的很有动力，你有多确定自己能在接下来一个月里坚持规律运动？,SE,您觉得AI聊天机器人是,您觉得AI聊天机器人是,您觉得AI聊天机器人是,您觉得AI聊天机器人是,您觉得AI聊天机器人是,Trust,以下是一些关于您对自己健康看法的陈述。请根据实际情况，选择最能描述您的选项-我经常思考我的健康问题,以下是一些关于您对自己健康看法的陈述。请根据实际情况，选择最能描述您的选项-我非常在意自己的健康,以下是一些关于您对自己健康看法的陈述。请根据实际情况，选择最能描述您的选项-我非常关注自己的健康,以下是一些关于您对自己健康看法的陈述。请根据实际情况，选择最能描述您的选项-我经常检查自己的健康状况,以下是一些关于您对自己健康看法的陈述。请根据实际情况，选择最能描述您的选项-我会注意一天当中身体的感受,以下是一些关于您对自己健康看法的陈述。请根据实际情况，选择最能描述您的选项-我通常能意识到自己的健康状况,HC,Sex,您的年龄是,您的工作类型是,您的工作类型是-其他-文本,您的工作方式是,您觉得您平常的工作需要久坐吗,您从事的行业是,您从事的行业是-其他-文本,您的工作地点是,您的最高学历是
11,WPAQ9GPEnRX,z7lGdPWM,2026-04-03 21:51:15,2026-04-03 21:56:19,304,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,120.197.255.11,116.3554950,23.2396440,广东省,汕头市,MOBILE,Android,Chrome,393px*873px,"Stimuli C. human gain,Stimuli C. human gain,Stimuli C. human gain",本人已閱讀及明白上述內容，我同意參與這項研究,是,3次,40,,,1,,1,1,5,7,6,6,5,6,6,5.66666666666667,6,7,7,6.66666666666667,5,7,6,6,7,6.2,7,5,6,5,7,5,5.83333333333333,0,25,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,文创 / 传媒 / 广告（如：媒体、艺术、内容创作、设计、市场营销、广告、公关等）,,一线城市（如：北京、上海、广州、深圳、杭州）,本科
12,mn8N4YDaXdx,7BGPKYpL,2026-04-03 21:51:27,2026-04-03 21:56:08,281,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,117.141.87.248,107.1330970,23.6156450,广西壮族自治区,百色市,MOBILE,Android,Chrome,362px*804px,Stimuli B. AI loss,本人已閱讀及明白上述內容，我同意參與這項研究,是,3次,90,,1,,,0,0,5,6,6,5.66666666666667,5,6,7,6,5,5,6,5.33333333333333,6,7,6,5,7,6.2,5,7,7,6,7,6,6.33333333333333,1,40,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,金融 / 法律 / 咨询（如：银行、保险、投资、证券、会计、法律服务、管理咨询等）,,二线城市,本科
13,XONyBngRrjj,BepKzG8L,2026-04-03 21:51:29,2026-04-03 21:55:53,264,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,223.104.145.184,119.2565681,31.5434639,江苏省,常州市,MOBILE,iOS,Apple WebKit,414px*896px,Stimuli B. AI loss,本人已閱讀及明白上述內容，我同意參與這項研究,是,3次,45,,1,,,0,0,6,5,6,5.66666666666667,6,7,6,6.33333333333333,4,5,6,5,6,5,6,6,5,5.6,6,7,5,6,5,6,5.83333333333333,0,32,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,金融 / 法律 / 咨询（如：银行、保险、投资、证券、会计、法律服务、管理咨询等）,,新一线城市及省会（如：成都、武汉、南京、重庆、武汉、天津、苏州、长沙、东莞、青岛、宁波、合肥、西安、郑州、佛山等）,本科
14,nNqZdk33zXn,xLV4NApM,2026-04-03 21:51:42,2026-04-03 21:55:23,221,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,223.104.145.138,120.0286308,31.7075046,江苏省,常州市,MOBILE,iOS,Apple WebKit,390px*844px,Stimuli C. human gain,本人已閱讀及明白上述內容，我同意參與這項研究,是,2次,30,,,1,,1,1,7,5,6,6,7,5,6,6,7,7,6,6.66666666666667,7,5,6,6,5,5.8,7,5,6,6,7,5,6,1,36,全职员工（每周 ≥35 小时）,,混合办公（办公室 + 远程）,需要,制造 / 工程（如：制造业、机械工程、建筑工程、生产管理等）,,新一线城市及省会（如：成都、武汉、南京、重庆、武汉、天津、苏州、长沙、东莞、青岛、宁波、合肥、西安、郑州、佛山等）,本科
15,mn8N4Jl266g,BMD5q5K7,2026-04-03 21:51:21,2026-04-03 21:54:39,198,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,36.62.175.213,118.3322240,32.2786860,安徽省,滁州市,MOBILE,Android,Chrome,362px*782px,Stimuli C. human gain,本人已閱讀及明白上述內容，我同意參與這項研究,是,2次,40,,,1,,1,1,5,6,6,5.66666666666667,5,5,6,5.33333333333333,4,5,5,4.66666666666667,5,5,6,5,5,5.2,5,6,6,5,5,6,5.5,1,35,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,制造 / 工程（如：制造业、机械工程、建筑工程、生产管理等）,,一线城市（如：北京、上海、广州、深圳、杭州）,本科
16,gnX9QKbEn8J,J7qRaOGL,2026-04-03 21:51:19,2026-04-03 21:54:30,191,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,27.186.203.223,114.7166710,38.6240730,河北省,保定市,MOBILE,Android,Chrome,360px*800px,Stimuli D. human loss,本人已閱讀及明白上述內容，我同意參與這項研究,是,1次,60,,,,1,1,0,5,5,4,4.66666666666667,4,5,5,4.66666666666667,5,6,6,5.66666666666667,5,5,6,5,4,5,4,5,5,3,5,5,4.5,0,23,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,金融 / 法律 / 咨询（如：银行、保险、投资、证券、会计、法律服务、管理咨询等）,,新一线城市及省会（如：成都、武汉、南京、重庆、武汉、天津、苏州、长沙、东莞、青岛、宁波、合肥、西安、郑州、佛山等）,硕士及以上
17,XONEalY2Nvd,LGBxA8N7,2026-04-03 18:09:42,2026-04-03 18:18:02,500,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,223.160.208.87,120.5046760,30.0815300,浙江省,绍兴市,MOBILE,Android,Chrome,393px*873px,Stimuli A. AI gain,本人已閱讀及明白上述內容，我同意參與這項研究,是,4次及以上,60,1,,,,0,1,6,5,6,5.66666666666667,6,5,6,5.66666666666667,5,6,5,5.33333333333333,5,5,5,6,5,5.2,5,6,5,5,6,6,5.5,1,37,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,互联网 / 科技 （如：软件开发、IT、互联网产品、数据分析、平台运营等）,,一线城市（如：北京、上海、广州、深圳、杭州）,硕士及以上
18,vNaP4z05pvn,p7YlryZM,2026-04-03 18:08:49,2026-04-03 18:15:11,382,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,223.90.29.231,113.1341000,35.2686000,河南省,焦作市,COMPUTER,Windows,Chrome,1600px*900px,Stimuli A. AI gain,本人已閱讀及明白上述內容，我同意參與這項研究,是,4次及以上,40,1,,,,0,1,6,7,7,6.66666666666667,6,7,7,6.66666666666667,6,7,6,6.33333333333333,6,7,6,6,7,6.4,6,7,7,6,6,7,6.5,1,35,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,制造 / 工程（如：制造业、机械工程、建筑工程、生产管理等）,,三线及以下城市,本科
19,nNq4w60bJEB,e8YQrQgM,2026-04-03 18:09:01,2026-04-03 18:15:10,369,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,183.138.41.193,120.6026300,27.5684850,浙江省,温州市,MOBILE,Android,Chrome,360px*782px,Stimuli C. human gain,本人已閱讀及明白上述內容，我同意參與這項研究,是,3次,60,,,1,,1,1,6,6,7,6.33333333333333,6,7,6,6.33333333333333,5,6,6,5.66666666666667,5,5,5,6,6,5.4,6,7,7,5,7,6,6.33333333333333,1,43,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,政府 / 公共服务（如：政府机构、事业单位、公共管理、社会服务机构等）,,三线及以下城市,本科
20,oBgpAqNGGVB,kM1jlxW7,2026-04-03 18:09:03,2026-04-03 18:12:47,224,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,121.33.173.218,113.1411490,23.4657660,广东省,广州市,MOBILE,Android,Chrome,384px*792px,Stimuli A. AI gain,本人已閱讀及明白上述內容，我同意參與這項研究,是,0次,0,1,,,,0,1,6,5,5,5.33333333333333,5,6,5,5.33333333333333,5,5,6,5.33333333333333,5,5,6,6,5,5.4,5,7,6,5,5,6,5.66666666666667,0,36,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,零售 / 服务业（如：销售、餐饮、酒店、客户服务、物流、电商运营等）,,一线城市（如：北京、上海、广州、深圳、杭州）,本科
21,WPAnYqPbbby,kMrWoX57,2026-04-03 18:08:49,2026-04-03 18:12:31,222,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,112.50.9.70,119.5838540,26.7950190,福建省,宁德市,MOBILE,Android,Chrome,360px*796px,Stimuli A. AI gain,本人已閱讀及明白上述內容，我同意參與這項研究,是,4次及以上,45,1,,,,0,1,5,6,7,6,5,7,5,5.66666666666667,5,6,7,6,5,6,5,6,5,5.4,5,7,5,6,5,7,5.83333333333333,0,31,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,零售 / 服务业（如：销售、餐饮、酒店、客户服务、物流、电商运营等）,,一线城市（如：北京、上海、广州、深圳、杭州）,本科
22,bNPB4njB43J,ekqPj6w7,2026-04-03 18:09:13,2026-04-03 18:12:14,181,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,223.104.80.183,110.7682460,21.8238820,广东省,佛山市,MOBILE,Android,Chrome,360px*800px,Stimuli A. AI gain,本人已閱讀及明白上述內容，我同意參與這項研究,是,4次及以上,120,1,,,,0,1,7,7,7,7,7,7,7,7,1,7,7,5,6,6,6,6,6,6,7,7,7,7,7,7,7,1,36,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,政府 / 公共服务（如：政府机构、事业单位、公共管理、社会服务机构等）,,三线及以下城市,本科
23,oBgpA4p1Or4,eyPvNQGL,2026-04-03 18:09:05,2026-04-03 18:11:30,145,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,223.88.109.80,114.0558840,35.4198100,河南省,新乡市,MOBILE,Android,Chrome,374px*843px,Stimuli B. AI loss,本人已閱讀及明白上述內容，我同意參與這項研究,是,4次及以上,60,,1,,,0,0,6,5,6,5.66666666666667,5,6,6,5.66666666666667,5,6,5,5.33333333333333,6,5,6,5,6,5.6,5,6,7,5,5,6,5.66666666666667,1,49,全职员工（每周 ≥35 小时）,,工作地点不固定 / 经常外出工作,不需要,制造 / 工程（如：制造业、机械工程、建筑工程、生产管理等）,,三线及以下城市,高中及以下
24,Q453z4Dpwjq,veEPD0KL,2026-04-03 18:03:42,2026-04-03 18:09:29,347,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,120.230.111.58,113.5975638,23.5502052,广东省,广州市,MOBILE,iOS,Apple WebKit,393px*852px,Stimuli C. human gain,本人已閱讀及明白上述內容，我同意參與這項研究,是,3次,60,,,1,,1,1,7,7,7,7,5,6,7,6,3,5,6,4.66666666666667,6,5,7,4,5,5.4,6,7,6,5,3,5,5.33333333333333,0,31,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,零售 / 服务业（如：销售、餐饮、酒店、客户服务、物流、电商运营等）,,一线城市（如：北京、上海、广州、深圳、杭州）,硕士及以上
25,oBgp6gp26oK,JekB9OkL,2026-04-03 17:52:33,2026-04-03 17:59:15,402,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,220.197.245.3,102.7645000,24.7387390,云南省,昆明市,MOBILE,Android,Chrome,360px*800px,Stimuli C. human gain,本人已閱讀及明白上述內容，我同意參與這項研究,是,4次及以上,45,,,1,,1,1,5,7,6,6,5,6,5,5.33333333333333,7,5,6,6,5,7,6,4,6,5.6,6,7,7,5,4,7,6,0,32,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,零售 / 服务业（如：销售、餐饮、酒店、客户服务、物流、电商运营等）,,新一线城市及省会（如：成都、武汉、南京、重庆、武汉、天津、苏州、长沙、东莞、青岛、宁波、合肥、西安、郑州、佛山等）,硕士及以上
26,lxya9xAVQB5,2MdjylbL,2026-04-03 17:49:23,2026-04-03 17:54:44,321,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,39.144.225.99,106.4730470,29.5714650,重庆市,市辖区,MOBILE,Android,Chrome,360px*800px,Stimuli C. human gain,本人已閱讀及明白上述內容，我同意參與這項研究,是,3次,60,,,1,,1,1,6,5,7,6,6,6,6,6,5,6,6,5.66666666666667,5,6,5,4,5,5,6,6,7,5,5,6,5.83333333333333,1,48,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,其他,房地产,新一线城市及省会（如：成都、武汉、南京、重庆、武汉、天津、苏州、长沙、东莞、青岛、宁波、合肥、西安、郑州、佛山等）,本科
27,mn8j34loR4z,8MZwoEr7,2026-04-03 17:33:44,2026-04-03 17:41:20,456,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,39.144.180.159,112.5931920,35.0940890,河南省,平顶山市,MOBILE,Android,Chrome,424px*880px,Stimuli A. AI gain,本人已閱讀及明白上述內容，我同意參與這項研究,是,3次,60,1,,,,0,1,6,5,6,5.66666666666667,7,5,6,6,6,6,7,6.33333333333333,5,6,5,7,7,6,7,6,7,6,6,6,6.33333333333333,0,36,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,零售 / 服务业（如：销售、餐饮、酒店、客户服务、物流、电商运营等）,,一线城市（如：北京、上海、广州、深圳、杭州）,硕士及以上
28,gnX4dy2ZYlJ,9LQGZgdM,2026-04-03 17:19:02,2026-04-03 17:37:20,1098,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,58.22.113.107,119.3001430,26.0684960,福建省,福州市,MOBILE,Android,Chrome,393px*873px,Stimuli D. human loss,本人已閱讀及明白上述內容，我同意參與這項研究,是,4次及以上,30,,,,1,1,0,6,6,5,5.66666666666667,5,6,5,5.33333333333333,4,5,4,4.33333333333333,5,5,4,6,6,5.2,5,6,6,4,5,6,5.33333333333333,1,38,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,制造 / 工程（如：制造业、机械工程、建筑工程、生产管理等）,,新一线城市及省会（如：成都、武汉、南京、重庆、武汉、天津、苏州、长沙、东莞、青岛、宁波、合肥、西安、郑州、佛山等）,本科
29,bNPB8Kpxj3Y,ev9omq3L,2026-04-03 17:30:18,2026-04-03 17:36:13,355,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,223.160.232.47,111.2547320,23.4297530,广西壮族自治区,南宁市,MOBILE,Android,Chrome,360px*796px,Stimuli C. human gain,本人已閱讀及明白上述內容，我同意參與這項研究,是,2次,40,,,1,,1,1,6,7,5,6,5,6,5,5.33333333333333,4,6,5,5,6,5,5,7,6,5.8,6,7,6,5,7,6,6.16666666666667,1,55,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,互联网 / 科技 （如：软件开发、IT、互联网产品、数据分析、平台运营等）,,一线城市（如：北京、上海、广州、深圳、杭州）,硕士及以上
30,vNaPBRk0zJN,M6Bq38vM,2026-04-03 17:26:37,2026-04-03 17:35:12,515,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,14.150.70.138,113.5230420,23.0745420,广东省,广州市,MOBILE,Android,Chrome,393px*873px,"Stimuli D. human loss,Stimuli D. human loss",本人已閱讀及明白上述內容，我同意參與這項研究,是,2次,40,,,,1,1,0,6,7,7,6.66666666666667,6,7,7,6.66666666666667,3,7,6,5.33333333333333,5,6,6,7,7,6.2,5,6,6,7,6,7,6.16666666666667,1,37,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,互联网 / 科技 （如：软件开发、IT、互联网产品、数据分析、平台运营等）,,一线城市（如：北京、上海、广州、深圳、杭州）,硕士及以上
31,WPAnNz1oNWJ,ebq2rEkL,2026-04-03 17:28:39,2026-04-03 17:34:33,354,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,111.18.156.93,108.9110640,34.3733970,陕西省,西安市,MOBILE,Android,Chrome,360px*803px,Stimuli B. AI loss,本人已閱讀及明白上述內容，我同意參與這項研究,是,4次及以上,30,,1,,,0,0,6,7,5,6,5,6,6,5.66666666666667,6,7,6,6.33333333333333,6,6,5,7,5,5.8,6,7,5,6,6,5,5.83333333333333,1,30,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,互联网 / 科技 （如：软件开发、IT、互联网产品、数据分析、平台运营等）,,新一线城市及省会（如：成都、武汉、南京、重庆、武汉、天津、苏州、长沙、东莞、青岛、宁波、合肥、西安、郑州、佛山等）,本科
32,Q453OXoloqY,z7lpo0W7,2026-04-03 17:20:35,2026-04-03 17:33:38,783,数据集市,iqyiiq,运动健康建议和职场人行为意图的研究,39.144.67.84,111.0073680,25.9143390,广西壮族自治区,柳州市,MOBILE,Android,Chrome,424px*942px,Stimuli A. AI gain,本人已閱讀及明白上述內容，我同意參與這項研究,是,4次及以上,1小时,1,,,,0,1,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0,41,全职员工（每周 ≥35 小时）,,主要在办公室工作,需要,制造 / 工程（如：制造业、机械工程、建筑工程、生产管理等）,,一线城市（如：北京、上海、广州、深圳、杭州）,本科
